pattern,impl,repeat,orders,elapsed_ns,ops_per_sec,checksum
homogeneous,virtual,0,500000,7650542,65354846,2226085267978
homogeneous,virtual,1,500000,7593083,65849405,2288666794547
homogeneous,virtual,2,500000,7155791,69873477,2351248321116
homogeneous,virtual,3,500000,7773250,64323159,2413829847685
homogeneous,virtual,4,500000,10941458,45697748,2476411374254
homogeneous,virtual,5,500000,9485833,52710183,2538992900823
homogeneous,virtual,6,500000,7792875,64161172,2601574427392
homogeneous,virtual,7,500000,8012750,62400549,2664155953961
homogeneous,virtual,8,500000,7670959,65180898,2726737480530
homogeneous,virtual,9,500000,7867167,63555279,2789319007099
homogeneous,non_virtual,0,500000,6872875,72749759,2226085267978
homogeneous,non_virtual,1,500000,6985875,71572995,2288666794547
homogeneous,non_virtual,2,500000,6843750,73059360,2351248321116
homogeneous,non_virtual,3,500000,6953417,71907092,2413829847685
homogeneous,non_virtual,4,500000,7144916,69979829,2476411374254
homogeneous,non_virtual,5,500000,6912459,72333159,2538992900823
homogeneous,non_virtual,6,500000,7002500,71403070,2601574427392
homogeneous,non_virtual,7,500000,6770333,73851611,2664155953961
homogeneous,non_virtual,8,500000,7267000,68804183,2726737480530
homogeneous,non_virtual,9,500000,6759417,73970876,2789319007099
mixed_random,virtual,0,500000,10516458,47544524,3576500778614478
mixed_random,virtual,1,500000,10073875,49633333,3576547671421071
mixed_random,virtual,2,500000,10453042,47832965,3576594564227664
mixed_random,virtual,3,500000,10039583,49802865,3576641457034257
mixed_random,virtual,4,500000,10514250,47554509,3576688349840850
mixed_random,virtual,5,500000,10439875,47893293,3576735242647443
mixed_random,virtual,6,500000,10024042,49880078,3576782135454036
mixed_random,virtual,7,500000,10292041,48581228,3576829028260629
mixed_random,virtual,8,500000,10267500,48697345,3576875921067222
mixed_random,virtual,9,500000,10106292,49474129,3576922813873815
mixed_random,non_virtual,0,500000,8545125,58512894,3576500778614478
mixed_random,non_virtual,1,500000,8287791,60329706,3576547671421071
mixed_random,non_virtual,2,500000,8536833,58569729,3576594564227664
mixed_random,non_virtual,3,500000,8278666,60396203,3576641457034257
mixed_random,non_virtual,4,500000,8559083,58417472,3576688349840850
mixed_random,non_virtual,5,500000,8247708,60622902,3576735242647443
mixed_random,non_virtual,6,500000,8482375,58945755,3576782135454036
mixed_random,non_virtual,7,500000,8338833,59960428,3576829028260629
mixed_random,non_virtual,8,500000,8661666,57725615,3576875921067222
mixed_random,non_virtual,9,500000,8179083,61131547,3576922813873815
bursty,virtual,0,500000,7382417,67728495,1435550979371774
bursty,virtual,1,500000,7256875,68900180,1435595948023620
bursty,virtual,2,500000,7704208,64899597,1435640916675466
bursty,virtual,3,500000,7437167,67229900,1435685885327312
bursty,virtual,4,500000,7812167,64002728,1435730853979158
bursty,virtual,5,500000,7457667,67045096,1435775822631004
bursty,virtual,6,500000,7422958,67358592,1435820791282850
bursty,virtual,7,500000,7694208,64983946,1435865759934696
bursty,virtual,8,500000,7161542,69817366,1435910728586542
bursty,virtual,9,500000,8030500,62262623,1435955697238388
bursty,non_virtual,0,500000,6506083,76851156,1435550979371774
bursty,non_virtual,1,500000,7156625,69865334,1435595948023620
bursty,non_virtual,2,500000,6373250,78452908,1435640916675466
bursty,non_virtual,3,500000,6382958,78333587,1435685885327312
bursty,non_virtual,4,500000,6965750,71779779,1435730853979158
bursty,non_virtual,5,500000,6360750,78607082,1435775822631004
bursty,non_virtual,6,500000,7053833,70883447,1435820791282850
bursty,non_virtual,7,500000,6470833,77269804,1435865759934696
bursty,non_virtual,8,500000,6462625,77367942,1435910728586542
bursty,non_virtual,9,500000,6760375,73960394,1435955697238388
